"Term","子罕","本姓解","Product"
"紀","0","0.0449","0.00"
"紂","0","0.107","0.00"
"約","0.0400","0","0.00"
"紅","0","0","0.00"
"紇","0","0.0899","0.00"
"納","0","0","0.00"
"純","0.0658","0","0.00"
"級","0","0.0678","0.00"
"素","0","0.0305","0.00"
"索","0","0","0.00"
"紫","0","0","0.00"
"累","0","0","0.00"
"細","0","0","0.00"
"紲","0","0","0.00"
"紳","0","0","0.00"
"紺","0","0","0.00"
"絀","0","0","0.00"
"絏","0","0","0.00"
"結","0","0","0.00"
"絜","0","0","0.00"
"絞","0","0","0.00"
"絢","0","0","0.00"
"給","0","0","0.00"
"絰","0","0","0.00"
"統","0","0.0534","0.00"
"絺","0","0","0.00"
"絻","0","0","0.00"
"綌","0","0","0.00"
"綏","0","0","0.00"
"經","0","0","0.00"
"維","0","0","0.00"
"綱","0","0","0.00"
"綽","0","0","0.00"
"緅","0","0","0.00"
"緇","0","0","0.00"
"緡","0","0.0678","0.00"
"編","0","0","0.00"
"縕","0.0781","0","0.00"
"縣","0","0","0.00"
"縱","0.156","0","0.00"
"縲","0","0","0.00"
"總","0","0","0.00"
"繁","0","0","0.00"
"繆","0","0","0.00"
"繇","0","0","0.00"
"繒","0","0","0.00"
"繚","0","0","0.00"
"繢","0","0","0.00"
"繩","0","0","0.00"
"繪","0","0","0.00"
"繫","0","0","0.00"
"繹","0.132","0","0.00"
"繼","0","0.0343","0.00"
"纍","0","0","0.00"
"纓","0","0","0.00"
"约","0","0","0.00"
"纪","0","0","0.00"
"纶","0","0","0.00"
"终","0","0","0.00"
"经","0","0","0.00"
"结","0","0","0.00"
"绝","0","0","0.00"
"缕","0","0","0.00"
"缪","0","0","0.00"
"缶","0","0","0.00"
"缺","0","0","0.00"
"罔","0","0","0.00"
"罕","0.0658","0","0.00"
"罢","0","0","0.00"
"罪","0","0.0305","0.00"
"置","0","0","0.00"
"罰","0","0","0.00"
"罷","0.0781","0","0.00"
"罹","0","0","0.00"
"羊","0","0","0.00"
"美","0.0189","0","0.00"
"羔","0","0","0.00"
"羖","0","0","0.00"
"羞","0","0","0.00"
"群","0","0","0.00"
"義","0","0.00765","0.00"
"羹","0","0","0.00"
"羽","0","0","0.00"
"羿","0","0","0.00"
"習","0","0","0.00"
"翔","0","0","0.00"
"翕","0","0","0.00"
"翟","0","0","0.00"
"翩","0","0","0.00"
"翼","0","0","0.00"
"老","0","0","0.00"
"考","0","0.160","0.00"
"而","0","0","0.00"
"耕","0","0","0.00"
"耦","0","0","0.00"
"耰","0","0","0.00"
"耳","0","0.0245","0.00"
"耶","0","0","0.00"
"耿","0","0","0.00"
"聘","0","0","0.00"
"聚","0","0","0.00"
"聰","0","0","0.00"
"聲","0","0","0.00"
"聵","0","0","0.00"
"職","0","0","0.00"
"聽","0","0","0.00"
"肅","0","0","0.00"
"肆","0","0","0.00"
"肉","0","0","0.00"
"肖","0","0","0.00"
"肥","0","0","0.00"
"肩","0","0","0.00"
"肯","0","0","0.00"
"肱","0","0","0.00"
"肸","0","0","0.00"
"胃","0","0","0.00"
"胎","0","0","0.00"
"胡","0","0","0.00"
"胥","0","0","0.00"
"脛","0","0","0.00"
"脣","0","0","0.00"
"脩","0","0.0343","0.00"
"脫","0","0","0.00"
"脯","0","0","0.00"
"腥","0","0","0.00"
"膚","0","0","0.00"
"膰","0","0","0.00"
"膾","0","0","0.00"
"臂","0","0","0.00"
"臣","0.0670","0","0.00"
"臧","0.100","0","0.00"
"臨","0","0","0.00"
"臭","0","0","0.00"
"致","0","0","0.00"
"臺","0","0","0.00"
"臾","0","0","0.00"
"興","0","0.0245","0.00"
"舉","0","0","0.00"
"舊","0","0","0.00"
"舌","0","0","0.00"
"舍","0.0359","0","0.00"
"舜","0","0.0245","0.00"
"舞","0","0","0.00"
"舟","0","0","0.00"
"良","0","0","0.00"
"色","0.0148","0","0.00"
"艺","0","0","0.00"
"艾","0","0","0.00"
"芸","0","0","0.00"
"苗","0.0992","0","0.00"
"苟","0","0","0.00"
"若","0","0.0129","0.00"
"苦","0","0","0.00"
"苴","0","0","0.00"
"范","0","0","0.00"
"茍","0","0","0.00"
"茖","0","0","0.00"
"茲","0.0658","0","0.00"
"荅","0","0","0.00"
"草","0","0","0.00"
"荊","0","0","0.00"
"荏","0","0","0.00"
"荣","0","0","0.00"
"荷","0","0","0.00"
"莊","0","0","0.00"
"莒","0","0","0.00"
"莞","0","0","0.00"
"莫","0","0.0322","0.00"
"莽","0","0","0.00"
"菑","0","0","0.00"
"菜","0","0","0.00"
"菲","0","0","0.00"
"萊","0","0","0.00"
"萎","0","0","0.00"
"萬","0","0","0.00"
"葉","0","0","0.00"
"著","0","0.0449","0.00"
"葴","0","0","0.00"
"葸","0","0","0.00"
"蒙","0","0","0.00"
"蒧","0","0","0.00"
"蒯","0","0","0.00"
"蒲","0","0","0.00"
"蒿","0","0","0.00"
"蓋","0","0","0.00"
"蓧","0","0","0.00"
"蓬","0","0","0.00"
"蔑","0","0","0.00"
"蔡","0","0.0245","0.00"
"蔬","0","0","0.00"
"蔽","0","0","0.00"
"蕃","0","0","0.00"
"蕢","0","0","0.00"
"蕩","0","0","0.00"
"蕭","0","0","0.00"
"薄","0","0","0.00"
"薑","0","0","0.00"
"薛","0","0","0.00"
"薦","0","0","0.00"
"薨","0","0","0.00"
"藉","0","0","0.00"
"藏","0.0502","0","0.00"
"藜","0","0","0.00"
"藝","0.0447","0","0.00"
"藥","0","0","0.00"
"藻","0","0","0.00"
"藿","0","0","0.00"
"蘧","0","0","0.00"
"蘭","0","0","0.00"
"虎","0","0","0.00"
"虐","0","0","0.00"
"虔","0","0","0.00"
"處","0","0","0.00"
"虛","0","0","0.00"
"虞","0","0","0.00"
"號","0","0.160","0.00"
"虽","0","0","0.00"
"蚤","0","0","0.00"
"蛟","0","0","0.00"
"蜀","0","0","0.00"
"蜚","0","0","0.00"
"蠻","0","0","0.00"
"血","0","0","0.00"
"行","0.00373","0","0.00"
"衍","0","0.0678","0.00"
"衎","0","0","0.00"
"衛","0.0323","0","0.00"
"衡","0","0","0.00"
"衢","0","0","0.00"
"衣","0.0706","0","0.00"
"表","0","0","0.00"
"衽","0","0","0.00"
"袂","0","0","0.00"
"袍","0.0781","0","0.00"
"袗","0","0","0.00"
"袚","0","0","0.00"
"被","0","0","0.00"
"裁","0","0","0.00"
"裏","0","0","0.00"
"裔","0","0.0678","0.00"
"裘","0","0","0.00"
"裨","0","0","0.00"
"裳","0.0781","0","0.00"
"褻","0","0","0.00"
"襁","0","0","0.00"
"襄","0","0.0305","0.00"
"襜","0","0","0.00"
"襲","0","0","0.00"
"西","0","0","0.00"
"要","0","0","0.00"
"覆","0.0658","0","0.00"
"視","0","0","0.00"
"覩","0","0.0678","0.00"
"親","0","0.0161","0.00"
"覯","0","0","0.00"
"覺","0","0","0.00"
"覿","0","0","0.00"
"觀","0","0","0.00"
"见","0","0","0.00"
"观","0","0","0.00"
"视","0","0","0.00"
"角","0","0","0.00"
"觚","0","0","0.00"
"言","0","0","0.00"
"討","0","0","0.00"
"訐","0","0","0.00"
"訒","0","0","0.00"
"訓","0","0.0678","0.00"
"訕","0","0","0.00"
"訖","0","0","0.00"
"託","0","0","0.00"
"記","0","0.0449","0.00"
"訟","0","0","0.00"
"訣","0","0","0.00"
"訥","0","0","0.00"
"設","0","0","0.00"
"許","0","0","0.00"
"訴","0","0","0.00"
"詐","0.0570","0","0.00"
"詑","0","0","0.00"
"詘","0","0","0.00"
"詠","0","0","0.00"
"試","0.0658","0","0.00"
"詩","0","0.0161","0.00"
"詳","0","0","0.00"
"誄","0","0","0.00"
"誅","0","0","0.00"
"誘","0.0658","0","0.00"
"語","0.0377","0","0.00"
"誠","0","0","0.00"
"誡","0","0","0.00"
"誣","0","0","0.00"
"誦","0.0658","0","0.00"
"誨","0","0.0343","0.00"
"說","0.0471","0","0.00"
"誰","0.0323","0","0.00"
"誾","0","0","0.00"
"諂","0","0","0.00"
"請","0","0","0.00"
"諒","0","0","0.00"
"論","0","0.0343","0.00"
"諫","0","0","0.00"
"諮","0","0","0.00"
"諱","0","0","0.00"
"諶","0","0","0.00"
"諾","0","0","0.00"
"謀","0","0","0.00"
"謁","0","0","0.00"
"謗","0","0","0.00"
"謙","0","0","0.00"
"講","0","0","0.00"
"謝","0","0","0.00"
"謹","0","0","0.00"
"證","0","0","0.00"
"譎","0","0","0.00"
"譏","0","0","0.00"
"譖","0","0","0.00"
"識","0","0","0.00"
"譬","0.0893","0","0.00"
"議","0","0","0.00"
"譽","0","0","0.00"
"讀","0","0","0.00"
"變","0","0","0.00"
"讓","0","0.0221","0.00"
"讚","0","0.0678","0.00"
"记","0","0","0.00"
"讱","0","0","0.00"
"论","0","0","0.00"
"设","0","0","0.00"
"诗","0","0","0.00"
"诛","0","0","0.00"
"语","0","0","0.00"
"说","0","0","0.00"
"请","0","0","0.00"
"诸","0","0","0.00"
"谓","0","0","0.00"
"谷","0","0","0.00"
"谿","0","0","0.00"
"豆","0","0","0.00"
"豎","0","0","0.00"
"豐","0","0","0.00"
"豕","0","0","0.00"
"豚","0","0","0.00"
"象","0","0","0.00"
"豭","0","0","0.00"
"豹","0","0","0.00"
"貉","0.0658","0","0.00"
"貊","0","0","0.00"
"貌","0","0","0.00"
"貞","0","0","0.00"
"負","0","0","0.00"
"財","0","0","0.00"
"貧","0","0","0.00"
"貨","0","0","0.00"
"販","0","0","0.00"
"貪","0","0.0534","0.00"
"貫","0","0","0.00"
"責","0","0","0.00"
"貲","0","0","0.00"
"貳","0","0","0.00"
"貶","0","0","0.00"
"貸","0","0","0.00"
"貺","0","0.0678","0.00"
"費","0","0","0.00"
"貽","0","0.0678","0.00"
"賀","0","0","0.00"
"賄","0","0","0.00"
"資","0","0","0.00"
"賈","0.114","0","0.00"
"賊","0","0","0.00"
"賓","0","0","0.00"
"賚","0","0","0.00"
"賜","0","0.0258","0.00"
"賞","0","0","0.00"
"賢","0","0.0114","0.00"
"賤","0.0400","0","0.00"
"賦","0","0","0.00"
"質","0","0","0.00"
"賴","0","0","0.00"
"贊","0","0","0.00"
"贛","0","0","0.00"
"贤","0","0","0.00"
"败","0","0","0.00"
"质","0","0","0.00"
"贵","0","0","0.00"
"赏","0","0","0.00"
"赐","0","0","0.00"
"赣","0","0","0.00"
"赤","0","0","0.00"
"赦","0","0","0.00"
"走","0","0","0.00"
"起","0","0.0305","0.00"
"越","0","0","0.00"
"趙","0","0","0.00"
"趨","0.0502","0","0.00"
"距","0","0","0.00"
"跡","0","0","0.00"
"路","0.0388","0","0.00"
"踐","0","0","0.00"
"踖","0","0","0.00"
"踧","0","0","0.00"
"踰","0","0","0.00"
"踵","0","0","0.00"
"蹈","0","0","0.00"
"蹜","0","0","0.00"
"躁","0","0","0.00"
"躩","0","0","0.00"
"躬","0","0","0.00"
"車","0","0","0.00"
"軌","0","0","0.00"
"軍","0.0400","0","0.00"
"軏","0","0","0.00"
"輅","0","0","0.00"
"載","0","0","0.00"
"輒","0","0","0.00"
"輓","0","0","0.00"
"輔","0","0","0.00"
"輕","0","0","0.00"
"輗","0","0","0.00"
"輟","0","0","0.00"
"輦","0","0","0.00"
"輿","0","0","0.00"
"轉","0","0","0.00"
"轢","0","0","0.00"
"载","0","0","0.00"
"辞","0","0","0.00"
"辟","0","0","0.00"
"辨","0","0","0.00"
"辭","0","0.0245","0.00"
"辯","0","0","0.00"
"辰","0","0","0.00"
"辱","0","0","0.00"
"農","0","0","0.00"
"迂","0","0","0.00"
"迅","0","0","0.00"
"迎","0","0","0.00"
"近","0","0","0.00"
"返","0","0","0.00"
"远","0","0","0.00"
"迭","0","0","0.00"
"述","0","0.0610","0.00"
"迷","0","0","0.00"
"迹","0","0","0.00"
"追","0","0","0.00"
"退","0","0.0129","0.00"
"送","0","0.0390","0.00"
"适","0","0","0.00"
"逆","0","0","0.00"
"逍","0","0","0.00"
"逐","0","0","0.00"
"通","0","0","0.00"
"逝","0.0658","0","0.00"
"逞","0","0","0.00"
"速","0","0","0.00"
"造","0","0","0.00"
"逢","0","0.0678","0.00"
"連","0","0","0.00"
"逮","0","0","0.00"
"逸","0","0","0.00"
"遂","0","0.0819","0.00"
"遇","0","0","0.00"
"遊","0","0","0.00"
"運","0","0","0.00"
"過","0.0224","0","0.00"
"達","0.0235","0","0.00"
"違","0.0359","0","0.00"
"遙","0","0","0.00"
"遠","0.0335","0","0.00"
"遲","0","0","0.00"
"遷","0","0.0343","0.00"
"選","0","0","0.00"
"遺","0","0.0449","0.00"
"避","0","0.0534","0.00"
"還","0","0","0.00"
"邇","0","0","0.00"
"邑","0","0","0.00"
"邦","0","0","0.00"
"邪","0","0","0.00"
"邽","0","0","0.00"
"郁","0","0","0.00"
"郈","0","0","0.00"
"郊","0","0","0.00"
"郎","0","0","0.00"
"郡","0","0","0.00"
"郢","0","0","0.00"
"郭","0","0","0.00"
"郰","0","0","0.00"
"都","0","0","0.00"
"鄆","0","0","0.00"
"鄉","0","0","0.00"
"鄒","0","0","0.00"
"鄡","0","0","0.00"
"鄣","0","0","0.00"
"鄭","0","0","0.00"
"鄰","0","0","0.00"
"鄹","0","0","0.00"
"配","0","0.0534","0.00"
"酒","0.0658","0","0.00"
"酬","0","0","0.00"
"醜","0","0","0.00"
"醫","0","0","0.00"
"醬","0","0","0.00"
"醯","0","0","0.00"
"醳","0","0","0.00"
"采","0","0","0.00"
"里","0","0","0.00"
"重","0","0","0.00"
"野","0","0","0.00"
"量","0","0","0.00"
"釐","0","0","0.00"
"金","0","0.0899","0.00"
"釜","0","0","0.00"
"釣","0","0","0.00"
"鈇","0","0","0.00"
"鈞","0","0","0.00"
"鉆","0","0","0.00"
"鉏","0","0","0.00"
"銅","0","0","0.00"
"銖","0","0","0.00"
"銘","0","0","0.00"
"銳","0","0","0.00"
"錦","0","0","0.00"
"錯","0","0.0390","0.00"
"鎬","0","0","0.00"
"鎰","0","0","0.00"
"鏗","0","0","0.00"
"鐘","0","0","0.00"
"鐸","0","0","0.00"
"鑽","0.0658","0","0.00"
"長","0","0.0179","0.00"
"长","0","0","0.00"
"門","0.0377","0","0.00"
"閉","0","0","0.00"
"開","0","0","0.00"
"閑","0","0","0.00"
"閒","0.0570","0","0.00"
"間","0","0","0.00"
"閔","0","0","0.00"
"閬","0","0","0.00"
"閭","0","0","0.00"
"閻","0","0","0.00"
"閾","0","0","0.00"
"闕","0","0","0.00"
"關","0","0","0.00"
"门","0","0","0.00"
"问","0","0","0.00"
"间","0","0","0.00"
"闻","0","0","0.00"
"阙","0","0","0.00"
"防","0","0.135","0.00"
"阼","0","0","0.00"
"附","0","0","0.00"
"际","0","0","0.00"
"陈","0","0","0.00"
"陋","0.132","0","0.00"
"降","0","0","0.00"
"陛","0","0","0.00"
"除","0","0","0.00"
"陪","0","0","0.00"
"陬","0","0.0534","0.00"
"陰","0","0","0.00"
"陳","0","0","0.00"
"陵","0","0","0.00"
"陶","0","0","0.00"
"陷","0","0","0.00"
"陽","0","0","0.00"
"隅","0","0","0.00"
"階","0","0","0.00"
"隐","0","0","0.00"
"隙","0","0","0.00"
"際","0","0","0.00"
"隨","0","0","0.00"
"隱","0","0","0.00"
"隼","0","0","0.00"
"雄","0","0","0.00"
"雅","0.0502","0","0.00"
"集","0","0","0.00"
"雉","0","0","0.00"
"雌","0","0","0.00"
"雍","0","0","0.00"
"雎","0","0","0.00"
"雒","0","0","0.00"
"雕","0","0","0.00"
"雞","0","0","0.00"
"離","0","0","0.00"
"難","0","0.0114","0.00"
"雨","0","0","0.00"
"雩","0","0","0.00"
"雲","0","0","0.00"
"雷","0","0","0.00"
"霍","0","0.0678","0.00"
"霸","0","0","0.00"
"靈","0","0","0.00"
"靜","0","0","0.00"
"非","0","0.0101","0.00"
"面","0","0","0.00"
"鞅","0","0","0.00"
"鞟","0","0","0.00"
"鞠","0","0","0.00"
"鞭","0","0","0.00"
"鞮","0","0","0.00"
"韋","0","0","0.00"
"韜","0","0","0.00"
"韞","0.0992","0","0.00"
"音","0","0","0.00"
"韶","0","0","0.00"
"頂","0","0","0.00"
"頃","0","0","0.00"
"項","0","0","0.00"
"順","0","0","0.00"
"須","0","0","0.00"
"頌","0.0781","0","0.00"
"頎","0","0","0.00"
"頓","0","0","0.00"
"頗","0","0","0.00"
"領","0","0","0.00"
"顓","0","0","0.00"
"願","0","0","0.00"
"顙","0","0","0.00"
"顛","0","0","0.00"
"類","0","0","0.00"
"顧","0","0","0.00"
"顯","0","0","0.00"
"颂","0","0","0.00"
"颛","0","0","0.00"
"颜","0","0","0.00"
"風","0","0","0.00"
"食","0","0","0.00"
"飪","0","0","0.00"
"飯","0","0","0.00"
"飲","0","0","0.00"
"飽","0","0","0.00"
"飾","0","0","0.00"
"養","0","0","0.00"
"餒","0","0","0.00"
"餓","0","0","0.00"
"餘","0","0.0273","0.00"
"餬","0","0","0.00"
"餲","0","0","0.00"
"餼","0","0","0.00"
"饉","0","0","0.00"
"饋","0","0","0.00"
"饌","0","0","0.00"
"饐","0","0","0.00"
"饑","0","0","0.00"
"饗","0","0","0.00"
"饘","0","0","0.00"
"馁","0","0","0.00"
"首","0","0","0.00"
"馬","0","0","0.00"
"馮","0","0","0.00"
"馯","0","0","0.00"
"馳","0","0","0.00"
"駕","0","0","0.00"
"駟","0","0","0.00"
"駢","0","0","0.00"
"騂","0","0","0.00"
"騎","0","0","0.00"
"騧","0","0","0.00"
"騫","0","0","0.00"
"驕","0","0","0.00"
"驥","0","0","0.00"
"驩","0","0","0.00"
"骀","0","0","0.00"
"骨","0","0","0.00"
"髓","0","0","0.00"
"體","0","0","0.00"
"髮","0","0","0.00"
"鬬","0","0","0.00"
"鬭","0","0","0.00"
"鬼","0","0","0.00"
"魋","0","0","0.00"
"魏","0","0","0.00"
"魚","0","0.123","0.00"
"鮀","0","0","0.00"
"鮑","0","0","0.00"
"鮒","0","0","0.00"
"鮮","0","0","0.00"
"鯉","0","0.0686","0.00"
"鱣","0","0","0.00"
"鲁","0","0","0.00"
"鳥","0.0502","0","0.00"
"鳳","0.0658","0","0.00"
"鳴","0","0","0.00"
"鴈","0","0","0.00"
"鸡","0","0","0.00"
"鹿","0","0","0.00"
"麑","0","0","0.00"
"麒","0","0","0.00"
"麟","0","0","0.00"
"麻","0.0992","0","0.00"
"麾","0","0","0.00"
"黃","0","0","0.00"
"黍","0","0","0.00"
"黎","0","0","0.00"
"黑","0","0","0.00"
"默","0","0","0.00"
"黜","0","0","0.00"
"點","0","0","0.00"
"黨","0.0262","0","0.00"
"黯","0","0","0.00"
"黶","0","0","0.00"
"黻","0","0","0.00"
"鼎","0","0","0.00"
"鼓","0","0","0.00"
"鼗","0","0","0.00"
"齒","0","0","0.00"
"龍","0","0","0.00"
"龜","0","0","0.00"
"［","0","0","0.00"
"］","0","0","0.00"
